Day,High,Low,Precipitation,Snow,SnowDepth
1-Jan-08,55,35.1,0,0,-
2-Jan-08,37,27,T,T,-
3-Jan-08,34,18,0,0,-
4-Jan-08,45,16,0,0,-
5-Jan-08,51.1,26.1,0,0,-
6-Jan-08,66,39,T,0,-
7-Jan-08,73.9,43,0,0,-
8-Jan-08,71.1,48,0,0,-
9-Jan-08,73,42.1,0,0,-
10-Jan-08,54,39,0.04,0,-
11-Jan-08,71.1,46.9,0.03,0,-
12-Jan-08,55,39,0,0,-
13-Jan-08,46.9,32,0.06,0,-
14-Jan-08,48.9,34,0,0,-
15-Jan-08,41,23,0,0,-
16-Jan-08,44.1,27,0,0,-
17-Jan-08,37,32,0.6,T,-
18-Jan-08,53.1,34,0,0,-
19-Jan-08,44.1,32,0.11,0.79,-
20-Jan-08,34,15.1,T,T,-
21-Jan-08,34,12,0,0,-
22-Jan-08,45,21,0.01,T,-
23-Jan-08,48.9,28.9,0,0,-
24-Jan-08,39.9,27,0,0,-
25-Jan-08,37,19.9,0,0,-
26-Jan-08,45,25,0,0,-
27-Jan-08,45,30.9,0,0,-
28-Jan-08,50,30,0,0,-
29-Jan-08,61,33.1,0.01,0,-
30-Jan-08,57,32,0.1,0,-
31-Jan-08,46.9,26.1,0,0,-
1-Feb-08,54,37,2.56,0,-
2-Feb-08,54,32,0,0,-
3-Feb-08,61,35.1,0,0,-
4-Feb-08,69.1,39.9,T,0,-
5-Feb-08,75.9,50,0,0,-
6-Feb-08,79,63,T,0,-
7-Feb-08,70,39.9,0,0,-
8-Feb-08,55,34,0,0,-
9-Feb-08,64,34,0,0,-
10-Feb-08,60.1,28.9,0,0,-
11-Feb-08,37.9,17.1,0,0,-
12-Feb-08,37.9,23,0.06,0,-
13-Feb-08,43,32,0.5,T,-
14-Feb-08,46.9,27,T,T,-
15-Feb-08,64,30,0,0,-
16-Feb-08,50,30.9,0,0,-
17-Feb-08,62.1,30.9,0.02,0,-
18-Feb-08,75,46,0.01,0,-
19-Feb-08,53.1,30,0,0,-
20-Feb-08,52,23,0.02,T,-
21-Feb-08,35.1,21,T,T,-
22-Feb-08,37,30,0.24,T,-
23-Feb-08,43,36,T,0,-
24-Feb-08,46,28,T,0,-
25-Feb-08,50,35.1,T,0,-
26-Feb-08,60.1,37,T,0,-
27-Feb-08,52,28.9,T,T,-
28-Feb-08,39.9,21,0,0,-
1-Mar-08,57.9,36,0,0,-
2-Mar-08,57,25,0,0,-
3-Mar-08,72,34,0,0,-
4-Mar-08,75.9,55,0.63,0,-
5-Mar-08,64,41,0.23,0,-
6-Mar-08,61,34,0,0,-
7-Mar-08,54,41,1.22,0,-
8-Mar-08,68,35.1,0.48,0,-
9-Mar-08,48.9,28.9,0,0,-
10-Mar-08,57.9,27,0,0,-
11-Mar-08,60.1,35.1,0,0,-
12-Mar-08,64.9,39,0,0,-
13-Mar-08,72,34,0,0,-
14-Mar-08,73.9,48.9,T,0,-
15-Mar-08,66,48,0.11,0,-
16-Mar-08,60.1,39.9,0.31,0,-
17-Mar-08,54,34,0,0,-
18-Mar-08,55,35.1,0,0,-
19-Mar-08,75,54,0.02,0,-
20-Mar-08,69.1,46,0.17,0,-
21-Mar-08,62.1,30,0,0,-
22-Mar-08,70,39,0.04,0,-
23-Mar-08,54,34,0,0,-
24-Mar-08,51.1,36,0,0,-
25-Mar-08,55.9,32,0,0,-
26-Mar-08,73,48,0,0,-
27-Mar-08,77,46.9,0,0,-
28-Mar-08,81,48,T,0,-
29-Mar-08,53.1,39,0.11,0,-
30-Mar-08,46,37,0.04,T,-
31-Mar-08,63,42.1,0.14,0,-
1-Apr-08,75.9,60.1,0.03,0,-
2-Apr-08,66,41,0,0,-
3-Apr-08,54,39,0.66,0,-
4-Apr-08,72,41,0.19,0,-
5-Apr-08,66.9,51.1,0.25,0,-
6-Apr-08,51.1,45,0.29,0,-
7-Apr-08,51.1,44.1,0.07,0,-
8-Apr-08,55,45,T,0,-
9-Apr-08,71.1,48,0,0,-
10-Apr-08,77,53.1,0,0,-
11-Apr-08,82.9,55.9,0,0,-
12-Apr-08,78.1,62.1,0.26,0,-
13-Apr-08,63,44.1,T,0,-
14-Apr-08,59,41,0,0,-
15-Apr-08,61,37,0,0,-
16-Apr-08,70,32,0,0,-
17-Apr-08,78.1,37.9,0,0,-
18-Apr-08,87.1,48,0,0,-
19-Apr-08,82,52,T,0,-
20-Apr-08,71.1,55.9,3.35,0,-
21-Apr-08,64.9,55,1.46,0,-
22-Apr-08,72,57.9,0.6,0,-
23-Apr-08,75,57.9,0,0,-
24-Apr-08,81,52,0,0,-
