Day,High,Low,Precipitation,Snow,SnowDepth
1-Jan-08,57.9,33.1,0,0,0
2-Jan-08,59,34,0,0,0
3-Jan-08,60.1,46.9,0.18,-,0
4-Jan-08,62.1,48,1.71,-,0
5-Jan-08,53.1,45,0.69,-,0
6-Jan-08,52,39,0.03,-,0
7-Jan-08,54,43,0.02,-,0
8-Jan-08,51.1,39.9,0.05,-,0
9-Jan-08,52,42.1,T,-,0
10-Jan-08,57,48,0.06,-,0
11-Jan-08,57,48.9,0,0,0
12-Jan-08,60.1,45,0,0,0
13-Jan-08,60.1,39.9,0,0,0
14-Jan-08,59,36,0,0,0
15-Jan-08,51.1,39.9,0.01,-,0
16-Jan-08,57.9,39,0,0,0
17-Jan-08,60.1,35.1,0,0,0
18-Jan-08,62.1,35.1,0,0,0
19-Jan-08,61,35.1,0,0,0
20-Jan-08,52,36,T,-,0
21-Jan-08,50,39.9,0.88,-,0
22-Jan-08,52,39.9,0.14,-,0
23-Jan-08,48,42.1,0.1,-,0
24-Jan-08,48,41,0.14,-,0
25-Jan-08,55.9,43,0.53,-,0
26-Jan-08,64,53.1,0.5,0,0
27-Jan-08,57,44.1,0.42,-,0
28-Jan-08,52,37,0.1,-,0
29-Jan-08,48.9,34,0.01,-,0
30-Jan-08,53.1,39,0.03,-,0
31-Jan-08,54,39.9,0,0,0
1-Feb-08,53.1,37,T,0,0
2-Feb-08,50,37,0.06,0,0
3-Feb-08,53.1,46,0.11,0,0
4-Feb-08,55.9,37.9,0,0,0
5-Feb-08,57.9,34,0,0,0
6-Feb-08,57,39.9,0,0,0
7-Feb-08,61,37,0,0,0
8-Feb-08,64,46,0,0,0
9-Feb-08,68,39,0,0,0
10-Feb-08,66.9,39.9,0,0,0
11-Feb-08,68,41,0,0,0
12-Feb-08,71.1,43,0,0,0
13-Feb-08,63,45,0,0,0
14-Feb-08,61,44.1,0,0,0
15-Feb-08,66,37,0,0,0
16-Feb-08,62.1,39,0,0,0
17-Feb-08,57.9,42.1,0,0,0
18-Feb-08,57.9,46,0,0,0
19-Feb-08,59,45,0.66,-,0
20-Feb-08,59,46.9,0.03,-,0
21-Feb-08,55,48,0.1,-,0
22-Feb-08,55,48.9,0.1,-,0
23-Feb-08,55,39,0.04,-,0
24-Feb-08,60.1,46.9,0.71,0,0
25-Feb-08,60.1,48,T,-,0
26-Feb-08,66.9,39.9,0,0,0
27-Feb-08,68,45,0,0,0
28-Feb-08,72,44.1,0,0,0
1-Mar-08,60.1,48,0,-,-
2-Mar-08,66,39.9,0,-,-
3-Mar-08,70,39,0,-,-
4-Mar-08,66.9,39,0,-,-
5-Mar-08,68,42.1,0,-,-
6-Mar-08,64.9,41,0,-,-
7-Mar-08,66.9,39.9,T,-,-
8-Mar-08,64.9,45,0,-,-
9-Mar-08,73,42.1,0,-,-
10-Mar-08,71.1,46.9,0,-,-
11-Mar-08,66.9,46.9,0,-,-
12-Mar-08,63,45,0,-,-
13-Mar-08,64,48.9,T,-,-
14-Mar-08,62.1,44.1,T,-,-
15-Mar-08,60.1,43,0.14,-,-
16-Mar-08,66.9,46.9,0,-,-
17-Mar-08,69.1,48.9,0,-,-
18-Mar-08,73,48,0,-,-
19-Mar-08,66,46,0,-,-
20-Mar-08,64.9,46,0,-,-
21-Mar-08,69.1,44.1,0,-,-
22-Mar-08,75.9,44.1,0,-,-
23-Mar-08,73.9,44.1,0,-,-
24-Mar-08,72,44.1,0,-,-
25-Mar-08,72,52,0,-,-
26-Mar-08,66.9,46.9,0,-,-
27-Mar-08,63,45,0,-,-
28-Mar-08,68,46.9,T,-,-
29-Mar-08,64.9,46.9,0.01,-,-
30-Mar-08,64,44.1,0,-,-
31-Mar-08,68,39,0,-,-
1-Apr-08,72,48,0,-,-
2-Apr-08,70,48.9,0.01,-,-
3-Apr-08,71.1,48.9,0,-,-
4-Apr-08,62.1,44.1,0,-,-
5-Apr-08,61,46,0,-,-
6-Apr-08,64,45,0,-,-
7-Apr-08,63,39,0,-,-
8-Apr-08,59,44.1,0,-,-
9-Apr-08,63,48,0,-,-
10-Apr-08,73,43,0,-,-
11-Apr-08,82,46.9,0,-,-
12-Apr-08,87.1,54,0,-,-
13-Apr-08,87.1,52,0,-,-
14-Apr-08,63,48,0,-,-
15-Apr-08,64,45,0,-,-
16-Apr-08,72,42.1,0,-,-
17-Apr-08,80.1,46.9,0,-,-
18-Apr-08,69.1,48,0,-,-
19-Apr-08,60.1,42.1,0,-,-
20-Apr-08,57.9,41,0,-,-
21-Apr-08,59,39.9,0,-,-
22-Apr-08,63,41,T,-,-
23-Apr-08,64.9,46,0.02,-,-
24-Apr-08,69.1,41,0,-,-
25-Apr-08,77,44.1,0,-,-
26-Apr-08,82.9,48.9,0,-,-
27-Apr-08,86,55,0,-,-
28-Apr-08,77,50,0,-,-
29-Apr-08,66,48,0,-,-
30-Apr-08,64,45,0,-,-
1-May-08,72,44.1,0,-,-
2-May-08,66,48,0,-,-
3-May-08,70,44.1,0,-,-
4-May-08,66.9,48.9,0,-,-
5-May-08,73.9,48,0,-,-
6-May-08,73.9,51.1,0,-,-
7-May-08,68,50,0,-,-
8-May-08,72,48.9,0,-,-
9-May-08,69.1,46.9,0,-,-
10-May-08,73.9,46,0,-,-
11-May-08,69.1,51.1,0,-,-
12-May-08,71.1,48.9,0,-,-
13-May-08,84.9,48.9,0,-,-
14-May-08,91,57,0,-,-
15-May-08,99,63,0,-,-
16-May-08,98.1,68,0,-,-
17-May-08,90,61,0,-,-
18-May-08,87.1,55.9,0,-,-
19-May-08,79,55,0,-,-
20-May-08,75,54,0,-,-
21-May-08,70,50,0,-,-
22-May-08,75,48,0,-,-
23-May-08,72,48.9,0,-,-
24-May-08,64,53.1,0,-,-
25-May-08,69.1,52,0,-,-
26-May-08,66,50,0,-,-
27-May-08,68,50,0,-,-
28-May-08,70,46.9,0,-,-
29-May-08,69.1,48.9,0,-,-
30-May-08,70,54,0,-,-
31-May-08,64.9,53.1,0,-,-
1-Jun-08,66.9,48.9,0,-,-
2-Jun-08,69.1,46.9,0,-,-
3-Jun-08,72,52,0,-,-
4-Jun-08,72,51.1,0,-,-
5-Jun-08,73.9,50,0,-,-
6-Jun-08,71.1,53.1,0,-,-
7-Jun-08,80.1,48.9,0,-,-
8-Jun-08,84.9,54,0,-,-
9-Jun-08,91.9,55,0,-,-
10-Jun-08,86,55,0,-,-
11-Jun-08,88,57,0,-,-
12-Jun-08,93,57,0,-,-
13-Jun-08,84,57,0,-,-
14-Jun-08,79,54,0,-,-
15-Jun-08,73,52,0,-,-
16-Jun-08,70,51.1,0,-,-
17-Jun-08,86,52,0,-,-
18-Jun-08,89.1,57,0,-,-
19-Jun-08,93.9,57.9,0,-,-
20-Jun-08,102.9,64,0,-,-
21-Jun-08,97,66,0,-,-
22-Jun-08,79,55.9,0,-,-
23-Jun-08,68,52,0,-,-
24-Jun-08,80.1,52,0,-,-
25-Jun-08,75.9,54,0,-,-
26-Jun-08,80.1,53.1,0,-,-
27-Jun-08,80.1,57.9,0,-,-
28-Jun-08,75,57,0,-,-
29-Jun-08,75.9,57,0,-,-
30-Jun-08,73.9,59,0,-,-
1-Jul-08,73.9,55.9,0,-,-
2-Jul-08,75.9,55,0,-,-
3-Jul-08,81,57.9,0,-,-
4-Jul-08,77,57.9,0,-,-
5-Jul-08,82,59,0,-,-
6-Jul-08,84,57.9,0,-,-
7-Jul-08,95,60.1,0,-,-
8-Jul-08,100.9,64,0,-,-
9-Jul-08,95,66.9,0,-,-
10-Jul-08,90,62.1,0,-,-
11-Jul-08,87.1,60.1,0,-,-
12-Jul-08,79,62.1,0,-,-
13-Jul-08,80.1,62.1,0,-,-
14-Jul-08,77,62.1,0,-,-
15-Jul-08,75,60.1,0,-,-
16-Jul-08,75.9,57.9,0,-,-
17-Jul-08,75,55,0,-,-
18-Jul-08,75.9,55.9,0,-,-
19-Jul-08,75.9,55,0,-,-
20-Jul-08,71.1,55.9,0,-,-
21-Jul-08,71.1,55,0,-,-
22-Jul-08,81,55.9,0,-,-
23-Jul-08,82,57,0,-,-
24-Jul-08,80.1,54,0,-,-
25-Jul-08,82.9,55,0,-,-
26-Jul-08,89.1,57,0,-,-
27-Jul-08,75,57,0,-,-
28-Jul-08,72,57.9,0,-,-
29-Jul-08,75,57.9,0,-,-
30-Jul-08,81,55.9,0,-,-
31-Jul-08,79,55.9,0,-,-
1-Aug-08,81,55,0,-,-
2-Aug-08,87.1,59,0,-,-
3-Aug-08,73,53.1,0,-,-
4-Aug-08,73.9,55,0,-,-
5-Aug-08,73,55,T,-,-
6-Aug-08,73.9,57,0,-,-
7-Aug-08,73.9,57,0,-,-
8-Aug-08,71.1,57,0,-,-
9-Aug-08,77,57,0,-,-
